EV Model,Capacity
Kia EV3 Long Range,78.0
Kia EV5 81.4 kWh,78.0
Mazda 6e Long Range 80 kWh,78.0
Changan Deepal S07 Standard,78.0
Voyah Courage 80 kWh RWD,77.3
Voyah Courage 80 kWh AWD,77.3
Škoda Enyaq 85,77.0
Škoda Enyaq 85x,77.0
Škoda Enyaq Coupe 85,77.0
Škoda Enyaq Coupe 85x,77.0
Škoda Elroq 85x,77.0
Škoda Enyaq 85x,77.0
Škoda Enyaq Coupe 85x,77.0
Tesla Model Y Long Range RWD,77.0
Ford Capri Extended Range AWD,77.0
Ford Explorer Extended Range AWD,77.0
Mazda 6e 78 kWh,77.0
Volkswagen ID.4 Pro,77.0
CUPRA Tavascan Endurance,77.0
Volkswagen ID.4 Pro 4MOTION,77.0
CUPRA Tavascan VZ,77.0
Volkswagen ID.5 Pro,77.0
Volkswagen ID.7 Pro,77.0
Volkswagen ID.7 Tourer Pro,77.0
Škoda Elroq 85,77.0
Audi Q4 e-tron 45,77.0
Audi Q4 e-tron 45 quattro,77.0
Audi Q4 e-tron 55 quattro,77.0
Audi Q4 Sportback e-tron 45,77.0
Audi Q4 Sportback e-tron 45 quattro,77.0
Audi Q4 Sportback e-tron 55 quattro,77.0
Hongqi E-HS9 84 kWh,76.5
Audi Q6 Sportback e-tron,75.8
Audi Q6 SUV e-tron,75.8
Audi A6 Sportback e-tron,75.8
Audi A6 Avant e-tron,75.8
Nissan LEAF Extended Range 75 kWh,75.1
Tesla Model Y Premium RWD,75.0
Cadillac OPTIQ 500 E4,75.0
BYD ATTO 3 Evo RWD Design,74.8
BYD ATTO 3 Evo AWD Excellence,74.8
Smart #5 Pro,74.4
MG MG4 Premium Extended Range,74.4
MG Cyberster Trophy,74.4
MG Cyberster GT,74.4
MG MG4 Electric 77 kWh,74.4
MG MGS6 EV RWD 77 kWh,74.3
MG MGS6 EV Dual Motor 77 kWh,74.3
Hyundai IONIQ 6 Long Range 2WD,74.0
Hyundai IONIQ 6 Long Range AWD,74.0
DS Automobiles N°8 FWD,73.7
Jeep Compass Electric 74 kWh,73.7
Citroën C5 Aircross Comfort Range,73.7
NIO ET5 Touring Standard Range,73.5
NIO EL6 Standard Range,73.5
MG IM5 Standard Range,73.5
NIO EL8 Standard Range,73.5
Kia EV9 76.1 kWh RWD,73.0
Peugeot e-5008 73 kWh,73.0
Peugeot e-5008 73 kWh Dual Motor,73.0
XPENG P7+ RWD Long Range,73.0
XPENG P7+ AWD Performance,73.0
Opel Grandland Electric 73 kWh AWD,73.0
Peugeot e-3008 73 kWh,73.0
Peugeot e-3008 73 kWh Dual Motor,73.0
Opel Grandland Electric 73 kWh,73.0
